latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
32.0198,-88.74655,326.55,1.56,1.23,2025-01-01,2021,Aqua,MODIS,80,6.1NRT,288.07,50.37,D
32.90779,-83.36761,307.46,3.71,1.8,2025-01-01,2021,Aqua,MODIS,62,6.1NRT,285.87,64.43,D
32.90213,-83.37521,303.89,3.71,1.8,2025-01-01,2021,Aqua,MODIS,57,6.1NRT,285.94,49.98,D
38.48625,-93.54651,303.49,1.08,1.04,2025-01-01,2023,Aqua,MODIS,56,6.1NRT,279.86,9.91,D
37.69065,-93.85231,301.34,1.05,1.02,2025-01-01,2023,Aqua,MODIS,46,6.1NRT,280.21,7.92,D
37.45717,-95.84082,303.57,1,1,2025-01-01,2023,Aqua,MODIS,56,6.1NRT,283.51,7.66,D
38.14759,-94.90793,300.9,1.01,1,2025-01-01,2023,Aqua,MODIS,43,6.1NRT,279.75,7.21,D
32.65424,-89.20659,304.13,1.49,1.2,2025-01-01,2023,Aqua,MODIS,58,6.1NRT,285.41,13.35,D
32.37865,-93.37067,307.4,1.01,1,2025-01-01,2023,Aqua,MODIS,65,6.1NRT,285.47,9.71,D
33.29939,-89.3475,308.76,1.49,1.2,2025-01-01,2023,Aqua,MODIS,68,6.1NRT,283.55,18.44,D
33.29545,-89.33785,311.67,1.49,1.21,2025-01-01,2023,Aqua,MODIS,72,6.1NRT,283.68,22.26,D
32.87502,-95.07891,322.85,1.02,1.01,2025-01-01,2023,Aqua,MODIS,82,6.1NRT,286.64,22.18,D
33.71262,-97.06651,306.26,1.15,1.07,2025-01-01,2023,Aqua,MODIS,63,6.1NRT,283.81,11.33,D
34.46997,-95.66951,341.15,1.03,1.01,2025-01-01,2023,Aqua,MODIS,92,6.1NRT,284.6,50.28,D
34.4683,-95.6803,315.82,1.03,1.01,2025-01-01,2023,Aqua,MODIS,76,6.1NRT,282.68,17.62,D
35.30703,-95.09866,304.11,1,1,2025-01-01,2023,Aqua,MODIS,58,6.1NRT,284.3,7.72,D
35.87279,-92.24438,318.49,1.14,1.06,2025-01-01,2023,Aqua,MODIS,79,6.1NRT,282,23.43,D
35.70027,-98.46587,302.98,1.24,1.11,2025-01-01,2023,Aqua,MODIS,54,6.1NRT,282.41,10.06,D
36.77122,-93.28468,307.68,1.07,1.03,2025-01-01,2023,Aqua,MODIS,66,6.1NRT,280.67,12.66,D
37.18442,-94.39485,300.07,1.02,1.01,2025-01-01,2023,Aqua,MODIS,25,6.1NRT,280.2,6.74,D
37.33008,-94.80471,310.94,1.01,1,2025-01-01,2023,Aqua,MODIS,71,6.1NRT,280.85,13.17,D
37.32852,-94.81573,310.75,1.01,1,2025-01-01,2023,Aqua,MODIS,70,6.1NRT,282.03,13,D
42.67677,-99.97244,356.28,1.13,1.06,2025-01-01,2025,Aqua,MODIS,74,6.1NRT,272.06,97.69,D
19.39865,-155.28918,440.3,3.62,1.78,2025-01-02,0113,Aqua,MODIS,94,6.1NRT,320.15,3808.32,D
19.38945,-155.28287,431.31,3.62,1.78,2025-01-02,0113,Aqua,MODIS,87,6.1NRT,314.43,3191.98,D
19.40657,-155.27884,477.97,2.82,1.6,2025-01-02,0711,Terra,MODIS,100,6.1NRT,326.02,5179.88,N
19.3927,-155.27574,322.96,2.82,1.6,2025-01-02,0711,Terra,MODIS,100,6.1NRT,286.59,98.97,N
19.40196,-155.30421,420.66,2.83,1.61,2025-01-02,0711,Terra,MODIS,100,6.1NRT,300.2,1819.74,N
19.39244,-155.35649,309.36,2.86,1.61,2025-01-02,0711,Terra,MODIS,41,6.1NRT,284.28,47.85,N
19.40215,-155.25757,315.31,2.8,1.6,2025-01-02,0711,Terra,MODIS,88,6.1NRT,288.01,67.19,N
19.39726,-155.28328,421.1,2.82,1.6,2025-01-02,0711,Terra,MODIS,100,6.1NRT,307.79,1832.65,N
19.39234,-155.30917,334.48,2.83,1.61,2025-01-02,0711,Terra,MODIS,100,6.1NRT,287.15,161.86,N
19.41595,-155.26086,322.72,2.8,1.6,2025-01-02,0711,Terra,MODIS,100,6.1NRT,288.71,98.63,N
19.41117,-155.28619,463.71,2.82,1.6,2025-01-02,0711,Terra,MODIS,100,6.1NRT,312.71,4094.57,N
19.40635,-155.31171,356.12,2.83,1.61,2025-01-02,0711,Terra,MODIS,100,6.1NRT,287.63,350.98,N
19.39665,-155.36296,305.7,2.86,1.61,2025-01-02,0711,Terra,MODIS,36,6.1NRT,283.48,41.6,N
19.42189,-155.2852,482.53,1.89,1.34,2025-01-02,1322,Aqua,MODIS,100,6.1NRT,325.81,3132.7,N
19.41866,-155.26718,427.95,1.9,1.35,2025-01-02,1322,Aqua,MODIS,100,6.1NRT,314.18,1188.97,N
19.41013,-155.28706,324.37,1.89,1.34,2025-01-02,1322,Aqua,MODIS,100,6.1NRT,284.98,57.71,N
19.40697,-155.26958,313.74,1.9,1.35,2025-01-02,1322,Aqua,MODIS,52,6.1NRT,284.59,32.32,N
19.43049,-155.26562,409.86,1.9,1.35,2025-01-02,1322,Aqua,MODIS,100,6.1NRT,317.62,809.76,N
19.43364,-155.28326,468.58,1.89,1.34,2025-01-02,1322,Aqua,MODIS,100,6.1NRT,325.54,2498.73,N
19.44535,-155.2811,315.96,1.89,1.34,2025-01-02,1322,Aqua,MODIS,70,6.1NRT,285.16,37.42,N
41.63481,-87.13457,302.53,1.04,1.02,2025-01-02,1556,Terra,MODIS,46,6.1NRT,273.51,9.91,D
33.48343,-82.93655,310.82,2.43,1.5,2025-01-02,1558,Terra,MODIS,70,6.1NRT,279.42,50.55,D
32.09328,-82.30347,306.49,2.9,1.62,2025-01-02,1558,Terra,MODIS,64,6.1NRT,281.99,45.66,D
32.09634,-82.29579,311.63,2.9,1.62,2025-01-02,1558,Terra,MODIS,72,6.1NRT,282.43,62.23,D
33.34526,-86.55911,312,1.43,1.18,2025-01-02,1558,Terra,MODIS,72,6.1NRT,279.1,25.02,D
32.77998,-84.30746,302.16,2.04,1.39,2025-01-02,1558,Terra,MODIS,51,6.1NRT,279.28,22.37,D
32.7765,-84.3139,302.54,2.04,1.39,2025-01-02,1558,Terra,MODIS,53,6.1NRT,279.21,24.22,D
34.48515,-95.67511,301.17,1.47,1.2,2025-01-02,1558,Terra,MODIS,45,6.1NRT,277.04,13.94,D
32.08703,-82.27447,304,2.91,1.63,2025-01-02,1558,Terra,MODIS,58,6.1NRT,282.55,39.22,D
33.69707,-80.45637,304.06,3.49,1.76,2025-01-02,1558,Terra,MODIS,58,6.1NRT,280.77,55.39,D
30.53969,-91.57348,320.83,1,1,2025-01-02,1600,Terra,MODIS,80,6.1NRT,286.07,19.15,D
30.5382,-91.56335,317.24,1,1,2025-01-02,1600,Terra,MODIS,77,6.1NRT,285.79,15.8,D
30.74965,-97.87604,303.84,1.81,1.32,2025-01-02,1600,Terra,MODIS,54,6.1NRT,283.88,16.23,D
30.9131,-84.66205,300.07,2.14,1.42,2025-01-02,1600,Terra,MODIS,25,6.1NRT,284.88,15.46,D
30.97202,-85.01711,317.89,2.02,1.38,2025-01-02,1600,Terra,MODIS,78,6.1NRT,283.62,50.11,D
30.91152,-84.66903,300.46,2.14,1.42,2025-01-02,1600,Terra,MODIS,37,6.1NRT,284.51,14.69,D
30.96817,-85.02468,304.22,2.02,1.38,2025-01-02,1600,Terra,MODIS,58,6.1NRT,283.43,20.53,D
30.96425,-85.00449,307.81,2.02,1.39,2025-01-02,1600,Terra,MODIS,62,6.1NRT,282.52,27.5,D
30.39412,-84.34445,312.42,2.31,1.47,2025-01-02,1600,Terra,MODIS,72,6.1NRT,286.35,42.76,D
30.38616,-84.37084,310.31,2.3,1.47,2025-01-02,1600,Terra,MODIS,63,6.1NRT,284.49,37.69,D
32.64007,-114.52703,338.29,1.05,1.02,2025-01-02,1738,Terra,MODIS,91,6.1NRT,292.44,41.95,D
32.6315,-114.53487,308.58,1.05,1.02,2025-01-02,1738,Terra,MODIS,66,6.1NRT,291.06,7.96,D
32.64177,-114.53782,354.74,1.05,1.02,2025-01-02,1738,Terra,MODIS,98,6.1NRT,293.8,76.69,D
32.60754,-114.61786,325.67,1.04,1.02,2025-01-02,1738,Terra,MODIS,83,6.1NRT,289.26,24.63,D
32.60921,-114.62859,304.62,1.04,1.02,2025-01-02,1738,Terra,MODIS,57,6.1NRT,290.22,5.83,D
27.37164,-81.58527,303.47,1.32,1.14,2025-01-02,1919,Aqua,MODIS,49,6.1NRT,283.23,9.51,D
26.82271,-81.65736,342.32,1.36,1.15,2025-01-02,1919,Aqua,MODIS,91,6.1NRT,284.28,74.58,D
27.37386,-81.57243,302.6,1.31,1.14,2025-01-02,1919,Aqua,MODIS,41,6.1NRT,280.96,8.88,D
32.05455,-83.83421,311.67,1.47,1.2,2025-01-02,1921,Aqua,MODIS,72,6.1NRT,286.8,21.57,D
32.03922,-81.82751,318.99,1.15,1.07,2025-01-02,1921,Aqua,MODIS,68,6.1NRT,288.42,20.51,D
31.85457,-82.94592,302.79,1.32,1.14,2025-01-02,1921,Aqua,MODIS,54,6.1NRT,288.08,9.37,D
31.76144,-83.51898,301.57,1.42,1.18,2025-01-02,1921,Aqua,MODIS,48,6.1NRT,287.96,8.78,D
31.22991,-86.43703,305.84,2.26,1.46,2025-01-02,1921,Aqua,MODIS,62,6.1NRT,286.23,26.67,D
32.09721,-81.92189,328.88,1.16,1.07,2025-01-02,1921,Aqua,MODIS,86,6.1NRT,288.11,35.88,D
31.22945,-86.44412,300.56,2.26,1.46,2025-01-02,1921,Aqua,MODIS,39,6.1NRT,286.4,16.89,D
32.02741,-82.4399,303.07,1.23,1.1,2025-01-02,1921,Aqua,MODIS,55,6.1NRT,288.88,8.28,D
32.02521,-82.45251,301.51,1.23,1.1,2025-01-02,1921,Aqua,MODIS,47,6.1NRT,287.86,7.05,D
32.06511,-82.2802,325.42,1.21,1.09,2025-01-02,1921,Aqua,MODIS,84,6.1NRT,288.48,32.24,D
32.06298,-82.29251,343.75,1.21,1.09,2025-01-02,1921,Aqua,MODIS,93,6.1NRT,290.43,67.64,D
32.12228,-82.31229,306.16,1.21,1.09,2025-01-02,1921,Aqua,MODIS,63,6.1NRT,288.26,10.57,D
32.11306,-82.47926,322.66,1.23,1.1,2025-01-02,1921,Aqua,MODIS,82,6.1NRT,288.68,29.57,D
32.07316,-82.7637,370.82,1.28,1.12,2025-01-02,1921,Aqua,MODIS,100,6.1NRT,292.59,172.67,D
32.07085,-82.77679,327.55,1.28,1.12,2025-01-02,1921,Aqua,MODIS,85,6.1NRT,289.21,38.98,D
32.26575,-82.02394,300.5,1.17,1.08,2025-01-02,1921,Aqua,MODIS,38,6.1NRT,286.1,6.7,D
32.45374,-81.29866,309.23,1.09,1.04,2025-01-02,1921,Aqua,MODIS,68,6.1NRT,287.27,11.43,D
32.46282,-81.30077,314.29,1.09,1.04,2025-01-02,1921,Aqua,MODIS,75,6.1NRT,286.82,15.94,D
32.28283,-82.40208,303.82,1.22,1.1,2025-01-02,1921,Aqua,MODIS,57,6.1NRT,286.53,9.02,D
32.21794,-82.82526,313.91,1.28,1.12,2025-01-02,1921,Aqua,MODIS,74,6.1NRT,286.78,19.01,D
32.21559,-82.83836,314.57,1.28,1.12,2025-01-02,1921,Aqua,MODIS,75,6.1NRT,288.55,19.86,D
32.12228,-83.8206,302.1,1.46,1.19,2025-01-02,1921,Aqua,MODIS,37,6.1NRT,286.74,8.7,D
32.11956,-83.83552,307.3,1.46,1.2,2025-01-02,1921,Aqua,MODIS,65,6.1NRT,287.29,14.17,D
32.1277,-83.82875,304.54,1.46,1.19,2025-01-02,1921,Aqua,MODIS,31,6.1NRT,287.19,10.57,D
32.22068,-83.4431,323.78,1.38,1.16,2025-01-02,1921,Aqua,MODIS,83,6.1NRT,286.91,37.43,D
32.41923,-82.4421,307.73,1.22,1.1,2025-01-02,1921,Aqua,MODIS,66,6.1NRT,285.73,13.02,D
32.45634,-82.28379,312.96,1.19,1.09,2025-01-02,1921,Aqua,MODIS,73,6.1NRT,286.73,16.79,D
32.45424,-82.29604,311.38,1.2,1.09,2025-01-02,1921,Aqua,MODIS,71,6.1NRT,287.52,14.93,D
32.45215,-82.30828,327.82,1.2,1.09,2025-01-02,1921,Aqua,MODIS,85,6.1NRT,288.12,34.72,D
32.41144,-82.54476,314.6,1.23,1.1,2025-01-02,1921,Aqua,MODIS,75,6.1NRT,286.12,19.92,D
32.66127,-81.1047,304.02,1.07,1.03,2025-01-02,1921,Aqua,MODIS,58,6.1NRT,286.68,8.08,D
32.36853,-82.96572,350.02,1.29,1.13,2025-01-02,1921,Aqua,MODIS,96,6.1NRT,289.78,90.67,D
32.3662,-82.97903,319.26,1.3,1.13,2025-01-02,1921,Aqua,MODIS,57,6.1NRT,287.42,24.23,D
32.37035,-82.95779,318.29,1.29,1.13,2025-01-02,1921,Aqua,MODIS,53,6.1NRT,286.72,22.91,D
32.36796,-82.97104,338.29,1.29,1.13,2025-01-02,1921,Aqua,MODIS,91,6.1NRT,290.46,59.07,D
32.49755,-82.46679,304.43,1.22,1.1,2025-01-02,1921,Aqua,MODIS,59,6.1NRT,286.34,9.9,D
31.59688,-87.10538,304.98,2.46,1.51,2025-01-02,1921,Aqua,MODIS,60,6.1NRT,285.88,30.03,D
32.66639,-81.75669,309.34,1.13,1.06,2025-01-02,1921,Aqua,MODIS,68,6.1NRT,285.77,11.94,D
32.66446,-81.76835,320.36,1.13,1.06,2025-01-02,1921,Aqua,MODIS,80,6.1NRT,286.63,22.83,D
32.67224,-81.76481,313.28,1.13,1.06,2025-01-02,1921,Aqua,MODIS,73,6.1NRT,287.39,16,D
31.66325,-87.40506,301.82,2.56,1.54,2025-01-02,1921,Aqua,MODIS,49,6.1NRT,285.91,23.73,D
31.75751,-87.16597,301.17,2.46,1.51,2025-01-02,1921,Aqua,MODIS,45,6.1NRT,285.22,22.47,D
31.82732,-86.90447,309.1,2.35,1.48,2025-01-02,1921,Aqua,MODIS,68,6.1NRT,285.76,35.61,D
31.85784,-86.88815,305.28,2.34,1.48,2025-01-02,1921,Aqua,MODIS,53,6.1NRT,285.79,26.3,D
32.86555,-81.83491,356.7,1.13,1.06,2025-01-02,1921,Aqua,MODIS,98,6.1NRT,290.04,95.24,D
32.8636,-81.84653,313.5,1.13,1.06,2025-01-02,1921,Aqua,MODIS,74,6.1NRT,286.26,16.7,D
