latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
34.073229,-77.997595,015,036,4363,5799,2025-03-13,1547,L9,high,D
34.072959,-77.997605,015,036,4363,5800,2025-03-13,1547,L9,low,D
34.072689,-77.997614,015,036,4363,5801,2025-03-13,1547,L9,medium,D
34.073762,-77.997251,015,036,4364,5797,2025-03-13,1547,L9,low,D
34.073492,-77.997261,015,036,4364,5798,2025-03-13,1547,L9,high,D
34.073221,-77.99727,015,036,4364,5799,2025-03-13,1547,L9,low,D
34.069916,-77.994788,015,036,4372,5811,2025-03-13,1547,L9,low,D
34.068835,-77.994826,015,036,4372,5815,2025-03-13,1547,L9,medium,D
34.068565,-77.994835,015,036,4372,5816,2025-03-13,1547,L9,low,D
34.068294,-77.994845,015,036,4372,5817,2025-03-13,1547,L9,high,D
34.068024,-77.994854,015,036,4372,5818,2025-03-13,1547,L9,high,D
34.069637,-77.994472,015,036,4373,5812,2025-03-13,1547,L9,low,D
34.069367,-77.994482,015,036,4373,5813,2025-03-13,1547,L9,high,D
34.069097,-77.994491,015,036,4373,5814,2025-03-13,1547,L9,high,D
34.068827,-77.994501,015,036,4373,5815,2025-03-13,1547,L9,high,D
34.068557,-77.994511,015,036,4373,5816,2025-03-13,1547,L9,high,D
34.068286,-77.99452,015,036,4373,5817,2025-03-13,1547,L9,low,D
34.068016,-77.99453,015,036,4373,5818,2025-03-13,1547,L9,high,D
34.067746,-77.994539,015,036,4373,5819,2025-03-13,1547,L9,low,D
34.069629,-77.994148,015,036,4374,5812,2025-03-13,1547,L9,low,D
34.069359,-77.994157,015,036,4374,5813,2025-03-13,1547,L9,high,D
34.069089,-77.994167,015,036,4374,5814,2025-03-13,1547,L9,low,D
34.068819,-77.994176,015,036,4374,5815,2025-03-13,1547,L9,high,D
34.068549,-77.994186,015,036,4374,5816,2025-03-13,1547,L9,low,D
34.065831,-77.993632,015,036,4376,5826,2025-03-13,1547,L9,high,D
34.065561,-77.993642,015,036,4376,5827,2025-03-13,1547,L9,high,D
34.065553,-77.993317,015,036,4377,5827,2025-03-13,1547,L9,high,D
34.064146,-77.991092,015,036,4384,5832,2025-03-13,1547,L9,high,D
34.063876,-77.991102,015,036,4384,5833,2025-03-13,1547,L9,low,D
34.062215,-77.989536,015,036,4389,5839,2025-03-13,1547,L9,low,D
34.302429,-77.970882,015,036,4420,4949,2025-03-13,1547,L9,high,D
34.302421,-77.970556,015,036,4421,4949,2025-03-13,1547,L9,low,D
34.008181,-77.958649,015,036,4490,6036,2025-03-13,1547,L9,low,D
34.008443,-77.958315,015,036,4491,6035,2025-03-13,1547,L9,high,D
34.008173,-77.958325,015,036,4491,6036,2025-03-13,1547,L9,high,D
34.007902,-77.958334,015,036,4491,6037,2025-03-13,1547,L9,high,D
34.007632,-77.958344,015,036,4491,6038,2025-03-13,1547,L9,high,D
34.007362,-77.958354,015,036,4491,6039,2025-03-13,1547,L9,high,D
34.007092,-77.958363,015,036,4491,6040,2025-03-13,1547,L9,high,D
34.007894,-77.95801,015,036,4492,6037,2025-03-13,1547,L9,medium,D
34.007624,-77.95802,015,036,4492,6038,2025-03-13,1547,L9,low,D
34.007354,-77.958029,015,036,4492,6039,2025-03-13,1547,L9,high,D
34.007084,-77.958039,015,036,4492,6040,2025-03-13,1547,L9,high,D
34.284616,-77.918094,015,036,4584,5010,2025-03-13,1547,L9,low,D
34.284346,-77.918104,015,036,4584,5011,2025-03-13,1547,L9,high,D
34.284076,-77.918114,015,036,4584,5012,2025-03-13,1547,L9,medium,D
