centroid_cluster,latitude,longitude,count
244,-31.46677223861955,149.1613749370085,85
245,-22.324788544635137,116.34565447177414,74
246,-11.556434535799585,131.20599151515813,56
247,-16.128729969006127,137.17924338189826,204
248,-16.5892369007699,124.54007497528748,80
249,-20.015650464044825,145.79007169409533,82
250,-12.784765662107455,132.71577334136998,67
251,-23.13325253246834,115.83471917396845,64
252,-14.071715639805504,135.07531938826054,162
253,-22.028330498557985,124.0403604505079,38
254,-21.621120498668045,120.32763125348654,93
255,-37.684632290275374,148.9361136362965,432
256,-18.75847832530329,145.7864960115476,217
257,-35.90777643942597,148.2393042398312,836
258,-16.460778390558293,136.2396820262151,184
259,-37.482214696539415,147.61407925728335,1071
260,-27.10224130112649,153.36872532290454,58
261,-32.63388721149153,150.44438107207634,1015
262,-30.678909651358232,123.01096255148524,241
263,-13.532370189883537,132.71414595975557,140
264,-15.822848865866655,142.9856012215472,146
265,-32.84034433394047,124.21915242645328,765
266,-14.7773844871199,143.87932477110564,203
267,-12.201280312094097,142.42990768019587,98
268,-15.248848628027122,127.07829090239115,206
269,-25.522983468029665,128.22200786952007,94
270,-33.884589210371495,150.16715702706256,1459
271,-23.74826328759227,128.1984626481112,59
272,-34.7519949655983,138.58381078997965,45
273,-32.09815306319725,152.3368882671524,369
274,-14.863477168114638,131.36453771151872,199
275,-33.358351681075405,122.25044160699137,207
276,-15.696628981483435,142.52135538720037,270
277,-17.090308498890643,137.8184556003586,115
278,-15.54994423670555,130.14014355422523,169
279,-23.70499954338606,145.46650256314177,7
280,-36.25063957358279,144.80403501986834,17
281,-32.55018793586718,120.26076435986916,681
282,-39.88147248912184,148.07885891780123,39
283,-29.716424301606082,152.2653816709837,704
284,-14.960124382243682,133.21132788542172,41
285,-16.704304343116565,125.07424306984615,62
286,-23.180995411629358,142.47755927270043,6
287,-14.480959526368538,141.9571948186197,110
288,-19.147139443733018,142.07619571617323,66
289,-11.981393849868658,135.72112607193026,36
290,-19.872416534386712,144.39626285337465,230
291,-20.70305162886866,122.46951161049267,56
292,-14.931311115724855,134.13331591247353,33
293,-15.480224769891786,125.59701821978777,221
294,-28.58764163378806,149.83519384002014,20
295,-31.042965037720993,146.58363207307184,38
296,-12.160067796028875,134.61295589436654,100
297,-25.114601242397733,152.20768606196143,198
298,-19.595599063084606,129.14522625593165,20
299,-33.16977134923468,150.0614127225423,1039
300,-22.53179835909183,128.12112725543813,20
301,-35.39963293381054,149.58756883508374,496
302,-16.209643714447473,128.49361984894566,114
303,-23.12232994129279,118.74923114007409,66
304,-13.697144937794988,134.11899099123875,50
305,-20.502450784001084,146.64711466171258,22
306,-17.689377047154828,122.6832671775423,84
307,-28.600151413821422,142.59742712066281,3
308,-14.386194137389902,127.50549745843256,304
309,-36.540336764923396,141.4961946120107,85
310,-20.45751158181859,148.31224333554198,129
311,-23.11586425897445,124.81740812396842,31
312,-35.80962211118805,149.81327317722312,879
313,-25.043704969448317,149.8980829598997,113
314,-21.824220411440105,115.52539334625094,17
315,-31.307062937813658,121.14064197494758,140
316,-36.39306531103255,149.535725930986,906
317,-15.10994263422664,128.51850535055738,214
318,-34.44515712884354,150.88846063638843,43
319,-31.508623942604455,115.6998564113028,85
320,-35.96251657086074,147.69785027760074,786
321,-18.14660574222838,143.73327866416193,283
322,-24.278259485689244,129.3752908080848,124
323,-35.10103797227453,150.45776356723817,476
324,-13.024434309413257,143.1730443256383,484
325,-32.80444215116003,120.98158060882186,299
326,-30.929846325618275,124.08912301291687,401
327,-17.99769199963302,124.43771857291753,64
328,-37.30964306179134,148.38890479112135,610
329,-12.691757060081974,142.4735987457148,134
330,-27.822199775903602,131.71790150916277,233
331,-37.3239624598493,148.8557630341187,402
332,-17.130901075311144,144.037214283936,176
333,-21.371546602448433,120.98024993185084,71
334,-15.635407387950686,125.070170781995,289
335,-15.815807825896375,136.32749583079473,118
336,-33.586964789473186,123.7238068095045,227
337,-18.954060060419433,143.71700001487775,250
338,-15.686081441358118,126.03809178915505,117
339,-32.538925796643625,134.13795311368474,8
340,-27.980801585394733,122.98763546767165,32
341,-26.013622260007377,131.72374587421,29
342,-16.510413007358,142.73837202730863,186
343,-26.67125863018957,147.4325503946891,47
344,-36.554330670965555,148.085368365851,690
