centroid_cluster,date,count,centroid_lat,centroid_lon
428,2019-11-26,2,-18.03915133777912,138.01728127058038
428,2019-11-27,2,-18.03915133777912,138.01728127058038
428,2019-11-28,1,-18.03915133777912,138.01728127058038
428,2019-12-14,1,-18.03915133777912,138.01728127058038
428,2019-12-16,6,-18.03915133777912,138.01728127058038
428,2020-01-15,5,-18.03915133777912,138.01728127058038
428,2020-01-16,3,-18.03915133777912,138.01728127058038
428,2020-01-17,7,-18.03915133777912,138.01728127058038
428,2020-01-18,3,-18.03915133777912,138.01728127058038
428,2020-01-19,2,-18.03915133777912,138.01728127058038
428,2020-02-06,2,-18.03915133777912,138.01728127058038
429,2019-11-24,1,-16.55923231536075,125.81740674031937
429,2019-11-25,10,-16.55923231536075,125.81740674031937
429,2019-11-27,3,-16.55923231536075,125.81740674031937
429,2019-11-29,5,-16.55923231536075,125.81740674031937
429,2019-11-30,1,-16.55923231536075,125.81740674031937
429,2019-12-01,3,-16.55923231536075,125.81740674031937
429,2019-12-27,1,-16.55923231536075,125.81740674031937
429,2020-01-30,6,-16.55923231536075,125.81740674031937
429,2020-01-31,3,-16.55923231536075,125.81740674031937
430,2019-11-13,4,-29.16222678398378,114.97102748268611
430,2019-12-10,2,-29.16222678398378,114.97102748268611
430,2019-12-11,1,-29.16222678398378,114.97102748268611
430,2019-12-12,2,-29.16222678398378,114.97102748268611
430,2019-12-13,1,-29.16222678398378,114.97102748268611
430,2020-02-16,1,-29.16222678398378,114.97102748268611
431,2019-12-10,7,-16.490984509674178,137.66887672752014
431,2019-12-11,2,-16.490984509674178,137.66887672752014
431,2019-12-12,11,-16.490984509674178,137.66887672752014
431,2019-12-15,35,-16.490984509674178,137.66887672752014
431,2019-12-16,8,-16.490984509674178,137.66887672752014
431,2019-12-17,31,-16.490984509674178,137.66887672752014
431,2019-12-18,18,-16.490984509674178,137.66887672752014
431,2019-12-19,17,-16.490984509674178,137.66887672752014
431,2019-12-20,14,-16.490984509674178,137.66887672752014
431,2019-12-21,37,-16.490984509674178,137.66887672752014
431,2019-12-22,7,-16.490984509674178,137.66887672752014
431,2019-12-23,14,-16.490984509674178,137.66887672752014
431,2019-12-24,15,-16.490984509674178,137.66887672752014
431,2019-12-25,29,-16.490984509674178,137.66887672752014
431,2019-12-26,13,-16.490984509674178,137.66887672752014
431,2019-12-27,26,-16.490984509674178,137.66887672752014
431,2019-12-28,1,-16.490984509674178,137.66887672752014
431,2019-12-30,4,-16.490984509674178,137.66887672752014
431,2019-12-31,4,-16.490984509674178,137.66887672752014
431,2020-01-01,2,-16.490984509674178,137.66887672752014
431,2020-01-02,9,-16.490984509674178,137.66887672752014
431,2020-01-04,3,-16.490984509674178,137.66887672752014
431,2020-02-13,11,-16.490984509674178,137.66887672752014
431,2020-02-14,4,-16.490984509674178,137.66887672752014
431,2020-02-16,1,-16.490984509674178,137.66887672752014
432,2019-12-24,17,-21.475159501814417,139.7956428290901
432,2019-12-25,13,-21.475159501814417,139.7956428290901
432,2019-12-26,65,-21.475159501814417,139.7956428290901
432,2020-01-03,3,-21.475159501814417,139.7956428290901
432,2020-01-04,1,-21.475159501814417,139.7956428290901
432,2020-02-04,2,-21.475159501814417,139.7956428290901
432,2020-02-11,5,-21.475159501814417,139.7956428290901
432,2020-02-14,2,-21.475159501814417,139.7956428290901
432,2020-02-17,2,-21.475159501814417,139.7956428290901
432,2020-02-28,6,-21.475159501814417,139.7956428290901
433,2019-11-01,2,-30.951516529291695,151.14682773966567
433,2019-11-12,31,-30.951516529291695,151.14682773966567
433,2019-11-13,34,-30.951516529291695,151.14682773966567
