system:index,burn,count,date,.geo
2019_11_01_+34456+13502,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.20769203787182,-31.43076297795908]}"
2019_11_01_+34462+11727,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[134.80921635179232,-15.46482473004044]}"
2019_11_01_+34468+11722,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[134.8379136289039,-15.422856435734989]}"
2019_11_01_+34477+13480,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.1097956266068,-31.226916977046866]}"
2019_11_01_+34478+13474,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.0326894329814,-31.178953212126338]}"
2019_11_01_+34492+13479,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.25220277511642,-31.223919241739328]}"
2019_11_01_+34494+13478,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.25875054752518,-31.214926035816728]}"
2019_11_01_+34497+13474,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.21992468227984,-31.17445660916504]}"
2019_11_01_+34500+13474,1,13,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.23978232884,-31.158891445068228]}"
2019_11_01_+34511+13485,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.53715764366484,-31.273381874313618]}"
2019_11_01_+34513+13486,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.5747632991288,-31.28687168319751]}"
2019_11_01_+34518+13447,1,8,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.0421503082744,-30.92039854185165]}"
2019_11_01_+34518+13455,1,6,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.16181424831493,-30.996091358366844]}"
2019_11_01_+34520+13449,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.11415085364558,-30.954123064061392]}"
2019_11_01_+34520+13481,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.57570841562153,-31.241905653584528]}"
2019_11_01_+34521+13447,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.0843241372537,-30.9271434462936]}"
2019_11_01_+34521+13454,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.19632382515428,-30.99908909367438]}"
2019_11_01_+34524+13442,1,5,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.04608406435744,-30.887573340234173]}"
2019_11_01_+34525+13469,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.44912533128803,-31.13398718251335]}"
2019_11_01_+34526+13489,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.75003478672937,-31.313851300965307]}"
2019_11_01_+34527+13454,1,14,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.22720951172073,-30.990738259603404]}"
2019_11_01_+34533+13467,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.5095191947031,-31.11600077066815]}"
2019_11_01_+34535+13467,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.53052834412102,-31.11600077066815]}"
2019_11_01_+34537+13481,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.7545238026984,-31.241905653584528]}"
2019_11_01_+34540+13482,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.80063040146607,-31.25089885950712]}"
2019_11_01_+34543+13481,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.8057731069143,-31.23890791827699]}"
2019_11_01_+34552+13429,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.16397992125047,-30.77425894560944]}"
2019_11_01_+34554+13436,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.27037970414256,-30.828218181145026]}"
2019_11_01_+34555+13428,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.18214548153998,-30.75927026907178]}"
