lat,lon
-22.324788544635137,116.34565447177415
-11.556434535799585,131.20599151515813
-16.128729969006127,137.1792433818983
-16.597154074302026,124.51463874714105
-20.015650464044825,145.79007169409533
-12.784765662107455,132.71577334136998
-23.13325253246834,115.83471917396847
-14.071715639805502,135.07531938826054
-22.028330498557985,124.0403604505079
-21.621120498668045,120.32763125348654
-37.68614323002048,148.9332764092876
-18.758478325303294,145.7864960115476
-35.90777643942597,148.2393042398312
-16.460778390558293,136.2396820262151
-37.48221469653942,147.61407925728335
-27.10224130112649,153.36872532290454
-32.633887211491526,150.44438107207634
-30.678909651358232,123.01096255148524
-13.532370189883537,132.7141459597556
-15.822848865866659,142.98560122154723
-32.84034433394047,124.21915242645329
-14.777384487119901,143.87932477110564
-12.201280312094097,142.4299076801959
-15.248848628027124,127.07829090239115
-25.522983468029665,128.22200786952007
-33.884589210371495,150.16715702706256
-23.74826328759227,128.1984626481112
-34.7519949655983,138.58381078997965
-32.09815306319726,152.3368882671524
-14.863477168114636,131.3645377115187
-33.358351681075405,122.25044160699136
-15.696628981483437,142.52135538720037
-17.090308498890643,137.81845560035862
-15.549944236705551,130.14014355422523
-23.70499954338606,145.46650256314177
-36.25063957358279,144.80403501986834
-32.55018793586717,120.26076435986914
-39.88147248912184,148.07885891780123
-29.716424301606082,152.2653816709837
-14.960124382243684,133.21132788542172
-16.71257809256536,125.0473651870796
-23.18099541162936,142.47755927270043
-14.480959526368537,141.9571948186197
-19.147139443733018,142.07619571617323
-11.98139384986866,135.72112607193026
-19.872416534386712,144.39626285337465
-20.70305162886866,122.46951161049267
-14.931311115724855,134.13331591247353
-15.480224769891786,125.59701821978778
-28.587641633788063,149.83519384002014
-31.042965037720997,146.58363207307184
-12.160067796028873,134.61295589436656
-25.114601242397733,152.20768606196143
-19.595599063084606,129.14522625593165
-33.16977134923468,150.06141272254231
-22.53179835909183,128.12112725543813
-35.399632933810544,149.58756883508377
-16.209643714447473,128.49361984894566
-23.122329941292787,118.74923114007409
-13.69714493779499,134.11899099123875
-20.502450784001084,146.64711466171258
-17.689377047154828,122.68326717754229
-28.600151413821422,142.59742712066281
-14.386194137389902,127.50549745843256
-36.540336764923396,141.49619461201073
-20.457511581818594,148.31224333554198
-23.11586425897445,124.81740812396843
-35.80964838988641,149.8171629538428
-25.04370496944832,149.8980829598997
-21.824220411440105,115.52539334625095
-31.307062937813658,121.14064197494758
-36.39306531103255,149.535725930986
-15.10994263422664,128.51850535055738
-34.44515712884354,150.88846063638843
-31.508623942604455,115.69985641130282
-35.962516570860735,147.6978502776007
-18.146605742228388,143.73327866416193
-24.278259485689247,129.3752908080848
-35.10103797227453,150.4577635672382
-13.024434309413257,143.1730443256383
-32.80444215116003,120.98158060882187
-30.92984632561828,124.08912301291689
-17.99769199963302,124.43771857291753
-37.30964306179134,148.38890479112135
-12.691757060081972,142.4735987457148
-27.822199775903602,131.71790150916277
-37.3239624598493,148.8557630341187
-17.130901075311144,144.037214283936
-21.371546602448433,120.98024993185084
-15.635407387950686,125.07017078199499
-15.815807825896375,136.32749583079473
-33.586964789473186,123.7238068095045
-18.95406006041943,143.71700001487775
-15.686081441358118,126.03809178915505
-32.538925796643625,134.13795311368474
-27.98080158539473,122.98763546767165
-26.013622260007377,131.72374587421004
-16.510413007358,142.73837202730863
-26.67125863018957,147.4325503946891
-36.554330670965555,148.085368365851
-33.11929917276781,150.50038688489752
-17.60343635057336,136.63040533114665
-15.73896482313689,141.8669469095202
-25.37832550222995,130.26346917233627
-23.720688531197247,148.17797760579367
-16.933380164664328,145.35728614460774
-30.021406199689014,150.86775567405004
-15.629567099235564,144.15450113782558
-20.983698255998075,125.54853736101492
-29.48468772058723,149.06513929059548
-20.88866449538761,120.19997621084546
-33.01089658873615,150.8187783329406
-35.54579315781374,148.43890933463666
-27.779759829602014,126.5173769511209
-20.50441331652249,127.100848680412
-25.630899000144655,146.27461017614726
-18.382918029582513,145.3170697780899
-13.39732719507429,135.45459977273615
-27.43365230917903,152.81845856225252
-30.655896936236502,152.16972446122958
-30.7312686960855,118.69301710062201
-14.718679044072745,142.93922099444544
-15.845602282255946,134.80433847594227
-30.331681557679858,122.45994614704725
-31.678423143654793,152.16581229824692
-17.64359710503662,127.16709412756603
-15.658054941315987,129.03247036864929
-36.349191707921264,140.0206447427751
-16.19376104213579,143.1044218259807
-20.17803072139362,123.33780752418278
-15.263017083697527,127.53215214208764
